Review,Rating,Sentiment,cleaned_review
No review text,5,Positive,review text
"Flight was cancelled and no refund provided. Has been 4 months and have had to ring go to gate over 10 times. I get the same answer of ‘the money will go into your account in two days’ but nothing, this is after being constantly put on hold and being on the phone over an hour to them. I would highly recommend to not use them as if something does go wrong they are not interested in sorting it out for you. Very close to a scam company.",1,Negative,flight cancel refund provide month ring go gate time get answer money go account two day nothing constantly put hold phone hour would highly recommend use something go wrong interested sort close scam company
No review text,5,Positive,review text
"I had one of the worst travel experiences ever thanks to GoToGate. We nearly missed our flight due to an absurdly long and poorly planned connection. For over an hour, we had to run with our luggage—through a bus transfer, a train, immigration, passport control, and two security checks.The distance from the arrival gate to the departure gate was completely unreasonable. There was zero support, no clear guidance, and no one to help. It was a nightmare, especially for anyone elderly or traveling with kids.This kind of disorganization is unacceptable. I won’t be using GoToGate again, and I strongly advise others to stay away.",1,Negative,one bad travel experience ever thank gotogate nearly miss flight due absurdly long poorly plan connection hour run luggagethrough bus transfer train immigration passport control two security checksthe distance arrival gate departure gate completely unreasonable zero support clear guidance one help nightmare especially anyone elderly travel kidsthis kind disorganization unacceptable will not use gotogate strongly advise other stay away
"No problem at all. Cheap, easy, fast, just skip all the add-ons and you get a better experience than booking through the airline",5,Positive,problem cheap easy fast skip addon get well experience book airline
"I booked a return flight through GoToGate for 13 April 2025 with Wizz Air. The travel document clearly stated a 01:40 departure from Jeddah to London. When I arrived at the airport, I was informed the flight had been moved to 12 April — a day earlier — and that I had missed it.Wizz Air advised that GoToGate requested the change.I was never informed.No email. No SMS. Nothing.GoToGate now claims they did notify me — yet I have reviewed every single message, folder, and account. There is no evidence. I have asked them to provide proof, but so far, silence.This isn’t just a missed flight. It’s a breakdown in basic duty of care. When you operate in the travel industry, communication is everything. I was left stranded in another country because of GoToGate’s failure to notify me of a change they requested.I have since raised a dispute with my bank, but the burden should not fall on customers to chase answers after being let down.If you're considering booking through GoToGate — I strongly urge you to reconsider.",1,Negative,book return flight gotogate april wizz air travel document clearly state departure jeddah london arrive airport inform flight move april day early miss itwizz air advise gotogate request changei never informedno email sms nothinggotogate claim notify yet review every single message folder account evidence ask provide proof far silencethis be not miss flight breakdown basic duty care operate travel industry communication everything leave strand another country gotogate failure notify change requestedi since raise dispute bank burden fall customer chase answer let downif you re consider book gotogate strongly urge reconsider
I have booked a flight I got one letter wrong in my first name they said we can't change it book another flight. Doggy,1,Negative,book flight get one letter wrong first name say can not change book another flight doggy
"Gotogate have recently partnered with Booking.com for flight bookings.My adviceDon't!Just don't..Not only have you to deal with booking.coms woeful customer service, you now have to deal with Gotogates woeful customer service.Any company that hides behind bots and no reply emails is definitely not to be trusted so combining 2 is a recipe for disaster and believe me, that's what you get,..",1,Negative,gotogate recently partner bookingcom flight bookingsmy advicedontjust dontnot deal bookingcom woeful customer service deal gotogate woeful customer serviceany company hide behind bot reply email definitely trust combine recipe disaster believe that s get
"We were mis-sold long haul seats and luggage. Just hours after paying for the booking we received a 'jolly' email from G2G that our seats were safe but the luggage booking was cancelled due to 'technical reasons'. These turned out to be that the combination of seats/ luggage sold to us were not available to that airline. G2G customer services blamed the large international airline for not keeping G2G up to date. It isn't up to G2G to keep their product sales up-to-date apparently.It is costing us more to pay for hold luggage at check-in, it would have been cheaper to book direct which we will do in future. G2G customer services were useless and very defensive.",1,Negative,missold long haul seat luggage hour pay booking receive jolly email gg seat safe luggage booking cancel due technical reason turn combination seat luggage sell we available airline gg customer service blame large international airline keep gg date be not gg keep product sale uptodate apparentlyit cost we pay hold luggage checkin would cheap book direct future gg customer service useless defensive
No review text,5,Positive,review text
